,id,title,description,is_premium,difficulty,solution_link,acceptance_rate,frequency,url,discuss_count,accepted,submissions,companies,related_topics,likes,dislikes,rating,asked_by_faang,similar_questions,c++_code_snippet,java_code_snippet,python_code_snippet,python3_code_snippet,c_code_snippet,c#_code_snippet,javascript_code_snippet,ruby_code_snippet,swift_code_snippet,go_code_snippet,scala_code_snippet,kotlin_code_snippet,rust_code_snippet,php_code_snippet,typescript_code_snippet,racket_code_snippet,erlang_code_snippet,elixir_code_snippet,dart_code_snippet,mysql_code_snippet,ms sql server_code_snippet,oracle_code_snippet,title_slug
175,1096,Brace Expansion II,"Under a grammar given below, strings can represent a set of lowercase words.  Let's use `R(expr)` to denote the set of words the expression represents.
Grammar can best be understood through simple examples:
Single letters represent a singleton set containing that word.
`R(""a"") = {""a""}`
`R(""w"") = {""w""}`
When we take a comma delimited list of 2 or more expressions, we take the union of possibilities.
`R(""{a,b,c}"") = {""a"",""b"",""c""}`
`R(""{{a,b},{b,c}}"") = {""a"",""b"",""c""}` (notice the final set only contains each word at most once)
When we concatenate two expressions, we take the set of possible concatenations between two words where the first word comes from the first expression and the second word comes from the second expression.
`R(""{a,b}{c,d}"") = {""ac"",""ad"",""bc"",""bd""}`
`R(""a{b,c}{d,e}f{g,h}"") = {""abdfg"", ""abdfh"", ""abefg"", ""abefh"", ""acdfg"", ""acdfh"", ""acefg"", ""acefh""}`
Formally, the 3 rules for our grammar:
For every lowercase letter `x`, we have `R(x) = {x}`
For expressions `e_1, e_2, ... , e_k` with `k >= 2`, we have `R({e_1,e_2,...}) = R(e_1) ∪ R(e_2) ∪ ...`
For expressions `e_1` and `e_2`, we have `R(e_1 + e_2) = {a + b for (a, b) in R(e_1) × R(e_2)}`, where + denotes concatenation, and × denotes the cartesian product.
Given an `expression` representing a set of words under the given grammar, return the sorted list of words that the expression represents.",0,Hard,,62.6,11.2,https://leetcode.com/problems/brace-expansion-ii,173,13.4K,21.3K,"Google,Adobe",String,258,161,62,1,"[Brace Expansion, /problems/brace-expansion/, Medium]","class Solution {
public:
    vector<string> braceExpansionII(string expression) {
        
    }
};","class Solution {
    public List<String> braceExpansionII(String expression) {
        
    }
}","class Solution(object):
    def braceExpansionII(self, expression):
        """"""
        :type expression: str
        :rtype: List[str]
        """"""
        ","class Solution:
    def braceExpansionII(self, expression: str) -> List[str]:
        ","/**
 * Note: The returned array must be malloced, assume caller calls free().
 */
char ** braceExpansionII(char * expression, int* returnSize){

}","public class Solution {
    public IList<string> BraceExpansionII(string expression) {
        
    }
}","/**
 * @param {string} expression
 * @return {string[]}
 */
var braceExpansionII = function(expression) {
    
};","# @param {String} expression
# @return {String[]}
def brace_expansion_ii(expression)
    
end","class Solution {
    func braceExpansionII(_ expression: String) -> [String] {
        
    }
}","func braceExpansionII(expression string) []string {
    
}","object Solution {
    def braceExpansionII(expression: String): List[String] = {
        
    }
}","class Solution {
    fun braceExpansionII(expression: String): List<String> {
        
    }
}","impl Solution {
    pub fn brace_expansion_ii(expression: String) -> Vec<String> {
        
    }
}","class Solution {

    /**
     * @param String $expression
     * @return String[]
     */
    function braceExpansionII($expression) {
        
    }
}","function braceExpansionII(expression: string): string[] {

};","(define/contract (brace-expansion-ii expression)
  (-> string? (listof string?))

  )","-spec brace_expansion_ii(Expression :: unicode:unicode_binary()) -> [unicode:unicode_binary()].
brace_expansion_ii(Expression) ->
  .","defmodule Solution do
  @spec brace_expansion_ii(expression :: String.t) :: [String.t]
  def brace_expansion_ii(expression) do

  end
end","class Solution {
  List<String> braceExpansionII(String expression) {

  }
}",,,,brace-expansion-ii
176,1106,Parsing A Boolean Expression,"Return the result of evaluating a given boolean `expression`, represented as a string.
An expression can either be:
`""t""`, evaluating to `True`;
`""f""`, evaluating to `False`;
`""!(expr)""`, evaluating to the logical NOT of the inner expression `expr`;
`""&(expr1,expr2,...)""`, evaluating to the logical AND of 2 or more inner expressions `expr1, expr2, ...`;
`""|(expr1,expr2,...)""`, evaluating to the logical OR of 2 or more inner expressions `expr1, expr2, ...`",0,Hard,,59.4,31.8,https://leetcode.com/problems/parsing-a-boolean-expression,285,13.3K,22.4K,Amazon,String,341,21,94,1,,"class Solution {
public:
    bool parseBoolExpr(string expression) {
        
    }
};","class Solution {
    public boolean parseBoolExpr(String expression) {
        
    }
}","class Solution(object):
    def parseBoolExpr(self, expression):
        """"""
        :type expression: str
        :rtype: bool
        """"""
        ","class Solution:
    def parseBoolExpr(self, expression: str) -> bool:
        ","bool parseBoolExpr(char * expression){

}","public class Solution {
    public bool ParseBoolExpr(string expression) {
        
    }
}","/**
 * @param {string} expression
 * @return {boolean}
 */
var parseBoolExpr = function(expression) {
    
};","# @param {String} expression
# @return {Boolean}
def parse_bool_expr(expression)
    
end","class Solution {
    func parseBoolExpr(_ expression: String) -> Bool {
        
    }
}","func parseBoolExpr(expression string) bool {
    
}","object Solution {
    def parseBoolExpr(expression: String): Boolean = {
        
    }
}","class Solution {
    fun parseBoolExpr(expression: String): Boolean {
        
    }
}","impl Solution {
    pub fn parse_bool_expr(expression: String) -> bool {
        
    }
}","class Solution {

    /**
     * @param String $expression
     * @return Boolean
     */
    function parseBoolExpr($expression) {
        
    }
}","function parseBoolExpr(expression: string): boolean {

};","(define/contract (parse-bool-expr expression)
  (-> string? boolean?)

  )","-spec parse_bool_expr(Expression :: unicode:unicode_binary()) -> boolean().
parse_bool_expr(Expression) ->
  .","defmodule Solution do
  @spec parse_bool_expr(expression :: String.t) :: boolean
  def parse_bool_expr(expression) do

  end
end","class Solution {
  bool parseBoolExpr(String expression) {

  }
}",,,,parsing-a-boolean-expression
177,1125,Smallest Sufficient Team,"In a project, you have a list of required skills `req_skills`, and a list of people. The `ith` person `people[i]` contains a list of skills that the person has.
Consider a sufficient team: a set of people such that for every required skill in `req_skills`, there is at least one person in the team who has that skill. We can represent these teams by the index of each person.
For example, `team = [0, 1, 3]` represents the people with skills `people[0]`, `people[1]`, and `people[3]`.
Return any sufficient team of the smallest possible size, represented by the index of each person. You may return the answer in any order.
It is guaranteed an answer exists.",0,Hard,,46.9,7.5,https://leetcode.com/problems/smallest-sufficient-team,125,11.8K,25.1K,Google,"Dynamic Programming,Bit Manipulation",469,9,98,1,,"class Solution {
public:
    vector<int> smallestSufficientTeam(vector<string>& req_skills, vector<vector<string>>& people) {
        
    }
};","class Solution {
    public int[] smallestSufficientTeam(String[] req_skills, List<List<String>> people) {
        
    }
}","class Solution(object):
    def smallestSufficientTeam(self, req_skills, people):
        """"""
        :type req_skills: List[str]
        :type people: List[List[str]]
        :rtype: List[int]
        """"""
        ","class Solution:
    def smallestSufficientTeam(self, req_skills: List[str], people: List[List[str]]) -> List[int]:
        ","/**
 * Note: The returned array must be malloced, assume caller calls free().
 */
int* smallestSufficientTeam(char ** req_skills, int req_skillsSize, char *** people, int peopleSize, int* peopleColSize, int* returnSize){

}","public class Solution {
    public int[] SmallestSufficientTeam(string[] req_skills, IList<IList<string>> people) {
        
    }
}","/**
 * @param {string[]} req_skills
 * @param {string[][]} people
 * @return {number[]}
 */
var smallestSufficientTeam = function(req_skills, people) {
    
};","# @param {String[]} req_skills
# @param {String[][]} people
# @return {Integer[]}
def smallest_sufficient_team(req_skills, people)
    
end","class Solution {
    func smallestSufficientTeam(_ req_skills: [String], _ people: [[String]]) -> [Int] {
        
    }
}","func smallestSufficientTeam(req_skills []string, people [][]string) []int {
    
}","object Solution {
    def smallestSufficientTeam(req_skills: Array[String], people: List[List[String]]): Array[Int] = {
        
    }
}","class Solution {
    fun smallestSufficientTeam(req_skills: Array<String>, people: List<List<String>>): IntArray {
        
    }
}","impl Solution {
    pub fn smallest_sufficient_team(req_skills: Vec<String>, people: Vec<Vec<String>>) -> Vec<i32> {
        
    }
}","class Solution {

    /**
     * @param String[] $req_skills
     * @param String[][] $people
     * @return Integer[]
     */
    function smallestSufficientTeam($req_skills, $people) {
        
    }
}","function smallestSufficientTeam(req_skills: string[], people: string[][]): number[] {

};","(define/contract (smallest-sufficient-team req_skills people)
  (-> (listof string?) (listof (listof string?)) (listof exact-integer?))

  )","-spec smallest_sufficient_team(Req_skills :: [unicode:unicode_binary()], People :: [[unicode:unicode_binary()]]) -> [integer()].
smallest_sufficient_team(Req_skills, People) ->
  .","defmodule Solution do
  @spec smallest_sufficient_team(req_skills :: [String.t], people :: [[String.t]]) :: [integer]
  def smallest_sufficient_team(req_skills, people) do

  end
end","class Solution {
  List<int> smallestSufficientTeam(List<String> req_skills, List<List<String>> people) {

  }
}",,,,smallest-sufficient-team
178,1147,Longest Chunked Palindrome Decomposition,"You are given a string `text`. You should split it to k substrings `(subtext1, subtext2, ..., subtextk)` such that:
`subtexti` is a non-empty string.
The concatenation of all the substrings is equal to `text` (i.e., `subtext1 + subtext2 + ... + subtextk == text`).
`subtexti == subtextk - i + 1` for all valid values of `i` (i.e., `1 <= i <= k`).
Return the largest possible value of `k`.",0,Hard,,59.5,0.0,https://leetcode.com/problems/longest-chunked-palindrome-decomposition,205,12.3K,20.6K,Google,"Dynamic Programming,Rolling Hash",264,16,94,1,,"class Solution {
public:
    int longestDecomposition(string text) {
        
    }
};","class Solution {
    public int longestDecomposition(String text) {
        
    }
}","class Solution(object):
    def longestDecomposition(self, text):
        """"""
        :type text: str
        :rtype: int
        """"""
        ","class Solution:
    def longestDecomposition(self, text: str) -> int:
        ","int longestDecomposition(char * text){

}","public class Solution {
    public int LongestDecomposition(string text) {
        
    }
}","/**
 * @param {string} text
 * @return {number}
 */
var longestDecomposition = function(text) {
    
};","# @param {String} text
# @return {Integer}
def longest_decomposition(text)
    
end","class Solution {
    func longestDecomposition(_ text: String) -> Int {
        
    }
}","func longestDecomposition(text string) int {
    
}","object Solution {
    def longestDecomposition(text: String): Int = {
        
    }
}","class Solution {
    fun longestDecomposition(text: String): Int {
        
    }
}","impl Solution {
    pub fn longest_decomposition(text: String) -> i32 {
        
    }
}","class Solution {

    /**
     * @param String $text
     * @return Integer
     */
    function longestDecomposition($text) {
        
    }
}","function longestDecomposition(text: string): number {

};","(define/contract (longest-decomposition text)
  (-> string? exact-integer?)

  )","-spec longest_decomposition(Text :: unicode:unicode_binary()) -> integer().
longest_decomposition(Text) ->
  .","defmodule Solution do
  @spec longest_decomposition(text :: String.t) :: integer
  def longest_decomposition(text) do

  end
end","class Solution {
  int longestDecomposition(String text) {

  }
}",,,,longest-chunked-palindrome-decomposition
180,1163,Last Substring in Lexicographical Order,"Given a string `s`, return the last substring of `s` in lexicographical order.",0,Hard,,36.3,48.7,https://leetcode.com/problems/last-substring-in-lexicographical-order,233,24.3K,66.8K,"Goldman Sachs,Salesforce","String,Suffix Array",317,358,47,0,,"class Solution {
public:
    string lastSubstring(string s) {
        
    }
};","class Solution {
    public String lastSubstring(String s) {
        
    }
}","class Solution(object):
    def lastSubstring(self, s):
        """"""
        :type s: str
        :rtype: str
        """"""
        ","class Solution:
    def lastSubstring(self, s: str) -> str:
        ","char * lastSubstring(char * s){

}","public class Solution {
    public string LastSubstring(string s) {
        
    }
}","/**
 * @param {string} s
 * @return {string}
 */
var lastSubstring = function(s) {
    
};","# @param {String} s
# @return {String}
def last_substring(s)
    
end","class Solution {
    func lastSubstring(_ s: String) -> String {
        
    }
}","func lastSubstring(s string) string {
    
}","object Solution {
    def lastSubstring(s: String): String = {
        
    }
}","class Solution {
    fun lastSubstring(s: String): String {
        
    }
}","impl Solution {
    pub fn last_substring(s: String) -> String {
        
    }
}","class Solution {

    /**
     * @param String $s
     * @return String
     */
    function lastSubstring($s) {
        
    }
}","function lastSubstring(s: string): string {

};","(define/contract (last-substring s)
  (-> string? string?)

  )","-spec last_substring(S :: unicode:unicode_binary()) -> unicode:unicode_binary().
last_substring(S) ->
  .","defmodule Solution do
  @spec last_substring(s :: String.t) :: String.t
  def last_substring(s) do

  end
end","class Solution {
  String lastSubstring(String s) {

  }
}",,,,last-substring-in-lexicographical-order
182,1178,Number of Valid Words for Each Puzzle,"With respect to a given `puzzle` string, a `word` is valid if both the following conditions are satisfied:
`word` contains the first letter of `puzzle`.
For each letter in `word`, that letter is in `puzzle`.
For example, if the puzzle is ""abcdefg"", then valid words are ""faced"", ""cabbage"", and ""baggage""; while invalid words are ""beefed"" (doesn't include ""a"") and ""based"" (includes ""s"" which isn't in the puzzle).
Return an array `answer`, where `answer[i]` is the number of words in the given word list `words` that are valid with respect to the puzzle `puzzles[i]`.",0,Hard,,39.6,63.1,https://leetcode.com/problems/number-of-valid-words-for-each-puzzle,104,8.9K,22.4K,Dropbox,"Hash Table,Bit Manipulation",287,34,89,0,,"class Solution {
public:
    vector<int> findNumOfValidWords(vector<string>& words, vector<string>& puzzles) {
        
    }
};","class Solution {
    public List<Integer> findNumOfValidWords(String[] words, String[] puzzles) {
        
    }
}","class Solution(object):
    def findNumOfValidWords(self, words, puzzles):
        """"""
        :type words: List[str]
        :type puzzles: List[str]
        :rtype: List[int]
        """"""
        ","class Solution:
    def findNumOfValidWords(self, words: List[str], puzzles: List[str]) -> List[int]:
        ","/**
 * Note: The returned array must be malloced, assume caller calls free().
 */
int* findNumOfValidWords(char ** words, int wordsSize, char ** puzzles, int puzzlesSize, int* returnSize){

}","public class Solution {
    public IList<int> FindNumOfValidWords(string[] words, string[] puzzles) {
        
    }
}","/**
 * @param {string[]} words
 * @param {string[]} puzzles
 * @return {number[]}
 */
var findNumOfValidWords = function(words, puzzles) {
    
};","# @param {String[]} words
# @param {String[]} puzzles
# @return {Integer[]}
def find_num_of_valid_words(words, puzzles)
    
end","class Solution {
    func findNumOfValidWords(_ words: [String], _ puzzles: [String]) -> [Int] {
        
    }
}","func findNumOfValidWords(words []string, puzzles []string) []int {
    
}","object Solution {
    def findNumOfValidWords(words: Array[String], puzzles: Array[String]): List[Int] = {
        
    }
}","class Solution {
    fun findNumOfValidWords(words: Array<String>, puzzles: Array<String>): List<Int> {
        
    }
}","impl Solution {
    pub fn find_num_of_valid_words(words: Vec<String>, puzzles: Vec<String>) -> Vec<i32> {
        
    }
}","class Solution {

    /**
     * @param String[] $words
     * @param String[] $puzzles
     * @return Integer[]
     */
    function findNumOfValidWords($words, $puzzles) {
        
    }
}","function findNumOfValidWords(words: string[], puzzles: string[]): number[] {

};","(define/contract (find-num-of-valid-words words puzzles)
  (-> (listof string?) (listof string?) (listof exact-integer?))

  )","-spec find_num_of_valid_words(Words :: [unicode:unicode_binary()], Puzzles :: [unicode:unicode_binary()]) -> [integer()].
find_num_of_valid_words(Words, Puzzles) ->
  .","defmodule Solution do
  @spec find_num_of_valid_words(words :: [String.t], puzzles :: [String.t]) :: [integer]
  def find_num_of_valid_words(words, puzzles) do

  end
end","class Solution {
  List<int> findNumOfValidWords(List<String> words, List<String> puzzles) {

  }
}",,,,number-of-valid-words-for-each-puzzle
183,1187,Make Array Strictly Increasing,"Given two integer arrays `arr1` and `arr2`, return the minimum number of operations (possibly zero) needed to make `arr1` strictly increasing.
In one operation, you can choose two indices `0 <= i < arr1.length` and `0 <= j < arr2.length` and do the assignment `arr1[i] = arr2[j]`.
If there is no way to make `arr1` strictly increasing, return `-1`.",0,Hard,,42.0,5.9,https://leetcode.com/problems/make-array-strictly-increasing,84,7.4K,17.7K,,,372,11,97,0,,"class Solution {
public:
    int makeArrayIncreasing(vector<int>& arr1, vector<int>& arr2) {
        
    }
};","class Solution {
    public int makeArrayIncreasing(int[] arr1, int[] arr2) {
        
    }
}","class Solution(object):
    def makeArrayIncreasing(self, arr1, arr2):
        """"""
        :type arr1: List[int]
        :type arr2: List[int]
        :rtype: int
        """"""
        ","class Solution:
    def makeArrayIncreasing(self, arr1: List[int], arr2: List[int]) -> int:
        ","

int makeArrayIncreasing(int* arr1, int arr1Size, int* arr2, int arr2Size){

}","public class Solution {
    public int MakeArrayIncreasing(int[] arr1, int[] arr2) {
        
    }
}","/**
 * @param {number[]} arr1
 * @param {number[]} arr2
 * @return {number}
 */
var makeArrayIncreasing = function(arr1, arr2) {
    
};","# @param {Integer[]} arr1
# @param {Integer[]} arr2
# @return {Integer}
def make_array_increasing(arr1, arr2)
    
end","class Solution {
    func makeArrayIncreasing(_ arr1: [Int], _ arr2: [Int]) -> Int {
        
    }
}","func makeArrayIncreasing(arr1 []int, arr2 []int) int {
    
}","object Solution {
    def makeArrayIncreasing(arr1: Array[Int], arr2: Array[Int]): Int = {
        
    }
}","class Solution {
    fun makeArrayIncreasing(arr1: IntArray, arr2: IntArray): Int {
        
    }
}","impl Solution {
    pub fn make_array_increasing(arr1: Vec<i32>, arr2: Vec<i32>) -> i32 {
        
    }
}","class Solution {

    /**
     * @param Integer[] $arr1
     * @param Integer[] $arr2
     * @return Integer
     */
    function makeArrayIncreasing($arr1, $arr2) {
        
    }
}","function makeArrayIncreasing(arr1: number[], arr2: number[]): number {

};",,,,,,,,make-array-strictly-increasing
184,1192,Critical Connections in a Network,"There are `n` servers numbered from `0` to `n-1` connected by undirected server-to-server `connections` forming a network where `connections[i] = [a, b]` represents a connection between servers `a` and `b`. Any server can reach any other server directly or indirectly through the network.
A critical connection is a connection that, if removed, will make some server unable to reach some other server.
Return all critical connections in the network in any order.",0,Hard,/articles/critical-connections-in-a-network,50.3,76.3,https://leetcode.com/problems/critical-connections-in-a-network,436,101.6K,202.1K,"Amazon,Adobe",Depth-first Search,2165,110,95,1,,"class Solution {
public:
    vector<vector<int>> criticalConnections(int n, vector<vector<int>>& connections) {
        
    }
};","class Solution {
    public List<List<Integer>> criticalConnections(int n, List<List<Integer>> connections) {
        
    }
}","class Solution(object):
    def criticalConnections(self, n, connections):
        """"""
        :type n: int
        :type connections: List[List[int]]
        :rtype: List[List[int]]
        """"""
        ","class Solution:
    def criticalConnections(self, n: int, connections: List[List[int]]) -> List[List[int]]:
        ","/**
 * Return an array of arrays of size *returnSize.
 * The sizes of the arrays are returned as *returnColumnSizes array.
 * Note: Both returned array and *columnSizes array must be malloced, assume caller calls free().
 */
int** criticalConnections(int n, int** connections, int connectionsSize, int* connectionsColSize, int* returnSize, int** returnColumnSizes){

}","public class Solution {
    public IList<IList<int>> CriticalConnections(int n, IList<IList<int>> connections) {
        
    }
}","/**
 * @param {number} n
 * @param {number[][]} connections
 * @return {number[][]}
 */
var criticalConnections = function(n, connections) {
    
};","# @param {Integer} n
# @param {Integer[][]} connections
# @return {Integer[][]}
def critical_connections(n, connections)
    
end","class Solution {
    func criticalConnections(_ n: Int, _ connections: [[Int]]) -> [[Int]] {
        
    }
}","func criticalConnections(n int, connections [][]int) [][]int {
    
}","object Solution {
    def criticalConnections(n: Int, connections: List[List[Int]]): List[List[Int]] = {
        
    }
}","class Solution {
    fun criticalConnections(n: Int, connections: List<List<Int>>): List<List<Int>> {
        
    }
}","impl Solution {
    pub fn critical_connections(n: i32, connections: Vec<Vec<i32>>) -> Vec<Vec<i32>> {
        
    }
}","class Solution {

    /**
     * @param Integer $n
     * @param Integer[][] $connections
     * @return Integer[][]
     */
    function criticalConnections($n, $connections) {
        
    }
}","function criticalConnections(n: number, connections: number[][]): number[][] {

};","(define/contract (critical-connections n connections)
  (-> exact-integer? (listof (listof exact-integer?)) (listof (listof exact-integer?)))

  )","-spec critical_connections(N :: integer(), Connections :: [[integer()]]) -> [[integer()]].
critical_connections(N, Connections) ->
  .","defmodule Solution do
  @spec critical_connections(n :: integer, connections :: [[integer]]) :: [[integer]]
  def critical_connections(n, connections) do

  end
end","class Solution {
  List<List<int>> criticalConnections(int n, List<List<int>> connections) {

  }
}",,,,critical-connections-in-a-network
185,1203,Sort Items by Groups Respecting Dependencies,"There are `n` items each belonging to zero or one of `m` groups where `group[i]` is the group that the `i`-th item belongs to and it's equal to `-1` if the `i`-th item belongs to no group. The items and the groups are zero indexed. A group can have no item belonging to it.
Return a sorted list of the items such that:
The items that belong to the same group are next to each other in the sorted list.
There are some relations between these items where `beforeItems[i]` is a list containing all the items that should come before the `i`-th item in the sorted array (to the left of the `i`-th item).
Return any solution if there is more than one solution and return an empty list if there is no solution.",0,Hard,,48.4,9.0,https://leetcode.com/problems/sort-items-by-groups-respecting-dependencies,109,8.9K,18.4K,Google,"Depth-first Search,Graph,Topological Sort",387,68,85,1,,"class Solution {
public:
    vector<int> sortItems(int n, int m, vector<int>& group, vector<vector<int>>& beforeItems) {
        
    }
};","class Solution {
    public int[] sortItems(int n, int m, int[] group, List<List<Integer>> beforeItems) {
        
    }
}","class Solution(object):
    def sortItems(self, n, m, group, beforeItems):
        """"""
        :type n: int
        :type m: int
        :type group: List[int]
        :type beforeItems: List[List[int]]
        :rtype: List[int]
        """"""
        ","class Solution:
    def sortItems(self, n: int, m: int, group: List[int], beforeItems: List[List[int]]) -> List[int]:
        ","/**
 * Note: The returned array must be malloced, assume caller calls free().
 */
int* sortItems(int n, int m, int* group, int groupSize, int** beforeItems, int beforeItemsSize, int* beforeItemsColSize, int* returnSize){

}","public class Solution {
    public int[] SortItems(int n, int m, int[] group, IList<IList<int>> beforeItems) {
        
    }
}","/**
 * @param {number} n
 * @param {number} m
 * @param {number[]} group
 * @param {number[][]} beforeItems
 * @return {number[]}
 */
var sortItems = function(n, m, group, beforeItems) {
    
};","# @param {Integer} n
# @param {Integer} m
# @param {Integer[]} group
# @param {Integer[][]} before_items
# @return {Integer[]}
def sort_items(n, m, group, before_items)
    
end","class Solution {
    func sortItems(_ n: Int, _ m: Int, _ group: [Int], _ beforeItems: [[Int]]) -> [Int] {
        
    }
}","func sortItems(n int, m int, group []int, beforeItems [][]int) []int {
    
}","object Solution {
    def sortItems(n: Int, m: Int, group: Array[Int], beforeItems: List[List[Int]]): Array[Int] = {
        
    }
}","class Solution {
    fun sortItems(n: Int, m: Int, group: IntArray, beforeItems: List<List<Int>>): IntArray {
        
    }
}","impl Solution {
    pub fn sort_items(n: i32, m: i32, group: Vec<i32>, before_items: Vec<Vec<i32>>) -> Vec<i32> {
        
    }
}","class Solution {

    /**
     * @param Integer $n
     * @param Integer $m
     * @param Integer[] $group
     * @param Integer[][] $beforeItems
     * @return Integer[]
     */
    function sortItems($n, $m, $group, $beforeItems) {
        
    }
}","function sortItems(n: number, m: number, group: number[], beforeItems: number[][]): number[] {

};","(define/contract (sort-items n m group beforeItems)
  (-> exact-integer? exact-integer? (listof exact-integer?) (listof (listof exact-integer?)) (listof exact-integer?))

  )","-spec sort_items(N :: integer(), M :: integer(), Group :: [integer()], BeforeItems :: [[integer()]]) -> [integer()].
sort_items(N, M, Group, BeforeItems) ->
  .","defmodule Solution do
  @spec sort_items(n :: integer, m :: integer, group :: [integer], before_items :: [[integer]]) :: [integer]
  def sort_items(n, m, group, before_items) do

  end
end","class Solution {
  List<int> sortItems(int n, int m, List<int> group, List<List<int>> beforeItems) {

  }
}",,,,sort-items-by-groups-respecting-dependencies
187,1210,Minimum Moves to Reach Target with Rotations,"In an `n*n` grid, there is a snake that spans 2 cells and starts moving from the top left corner at `(0, 0)` and `(0, 1)`. The grid has empty cells represented by zeros and blocked cells represented by ones. The snake wants to reach the lower right corner at `(n-1, n-2)` and `(n-1, n-1)`.
In one move the snake can:
Move one cell to the right if there are no blocked cells there. This move keeps the horizontal/vertical position of the snake as it is.
Move down one cell if there are no blocked cells there. This move keeps the horizontal/vertical position of the snake as it is.
Rotate clockwise if it's in a horizontal position and the two cells under it are both empty. In that case the snake moves from `(r, c)` and `(r, c+1)` to `(r, c)` and `(r+1, c)`.
Rotate counterclockwise if it's in a vertical position and the two cells to its right are both empty. In that case the snake moves from `(r, c)` and `(r+1, c)` to `(r, c)` and `(r, c+1)`.
Return the minimum number of moves to reach the target.
If there is no way to reach the target, return `-1`.",0,Hard,,46.6,0.0,https://leetcode.com/problems/minimum-moves-to-reach-target-with-rotations,137,6K,12.8K,Kakao,Breadth-first Search,155,46,77,0,,"class Solution {
public:
    int minimumMoves(vector<vector<int>>& grid) {
        
    }
};","class Solution {
    public int minimumMoves(int[][] grid) {
        
    }
}","class Solution(object):
    def minimumMoves(self, grid):
        """"""
        :type grid: List[List[int]]
        :rtype: int
        """"""
        ","class Solution:
    def minimumMoves(self, grid: List[List[int]]) -> int:
        ","

int minimumMoves(int** grid, int gridSize, int* gridColSize){

}","public class Solution {
    public int MinimumMoves(int[][] grid) {
        
    }
}","/**
 * @param {number[][]} grid
 * @return {number}
 */
var minimumMoves = function(grid) {
    
};","# @param {Integer[][]} grid
# @return {Integer}
def minimum_moves(grid)
    
end","class Solution {
    func minimumMoves(_ grid: [[Int]]) -> Int {
        
    }
}","func minimumMoves(grid [][]int) int {
    
}","object Solution {
    def minimumMoves(grid: Array[Array[Int]]): Int = {
        
    }
}","class Solution {
    fun minimumMoves(grid: Array<IntArray>): Int {
        
    }
}","impl Solution {
    pub fn minimum_moves(grid: Vec<Vec<i32>>) -> i32 {
        
    }
}","class Solution {

    /**
     * @param Integer[][] $grid
     * @return Integer
     */
    function minimumMoves($grid) {
        
    }
}","function minimumMoves(grid: number[][]): number {

};",,,,,,,,minimum-moves-to-reach-target-with-rotations
188,1220,Count Vowels Permutation,"Given an integer `n`, your task is to count how many strings of length `n` can be formed under the following rules:
Each character is a lower case vowel (`'a'`, `'e'`, `'i'`, `'o'`, `'u'`)
Each vowel `'a'` may only be followed by an `'e'`.
Each vowel `'e'` may only be followed by an `'a'` or an `'i'`.
Each vowel `'i'` may not be followed by another `'i'`.
Each vowel `'o'` may only be followed by an `'i'` or a `'u'`.
Each vowel `'u'` may only be followed by an `'a'.`
Since the answer may be too large, return it modulo `10^9 + 7.`",0,Hard,,54.0,62.9,https://leetcode.com/problems/count-vowels-permutation,239,16.7K,30.9K,Swiggy,Dynamic Programming,309,57,84,0,,"class Solution {
public:
    int countVowelPermutation(int n) {
        
    }
};","class Solution {
    public int countVowelPermutation(int n) {
        
    }
}","class Solution(object):
    def countVowelPermutation(self, n):
        """"""
        :type n: int
        :rtype: int
        """"""
        ","class Solution:
    def countVowelPermutation(self, n: int) -> int:
        ","int countVowelPermutation(int n){

}","public class Solution {
    public int CountVowelPermutation(int n) {
        
    }
}","/**
 * @param {number} n
 * @return {number}
 */
var countVowelPermutation = function(n) {
    
};","# @param {Integer} n
# @return {Integer}
def count_vowel_permutation(n)
    
end","class Solution {
    func countVowelPermutation(_ n: Int) -> Int {
        
    }
}","func countVowelPermutation(n int) int {
    
}","object Solution {
    def countVowelPermutation(n: Int): Int = {
        
    }
}","class Solution {
    fun countVowelPermutation(n: Int): Int {
        
    }
}","impl Solution {
    pub fn count_vowel_permutation(n: i32) -> i32 {
        
    }
}","class Solution {

    /**
     * @param Integer $n
     * @return Integer
     */
    function countVowelPermutation($n) {
        
    }
}","function countVowelPermutation(n: number): number {

};","(define/contract (count-vowel-permutation n)
  (-> exact-integer? exact-integer?)

  )","-spec count_vowel_permutation(N :: integer()) -> integer().
count_vowel_permutation(N) ->
  .","defmodule Solution do
  @spec count_vowel_permutation(n :: integer) :: integer
  def count_vowel_permutation(n) do

  end
end","class Solution {
  int countVowelPermutation(int n) {

  }
}",,,,count-vowels-permutation
